id,data,codigo,descricao,previsto_mensal,realizado_mensal
33118,2011-11,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 363.849.720,33","R$ 310.068.828,47"
33130,2011-11,1.1.1.2.02.01,IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 363.849.720,33","R$ 91.513.590,82"
33142,2011-11,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 14.707.700,67","R$ 13.129.015,34"
33154,2011-11,1.1.1.2.02.02,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,"R$ 14.707.700,67","R$ 3.393.664,18"
33166,2011-11,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENTOS DO TRABALHO,"R$ 69.865.205,50","R$ 71.783.596,03"
33178,2011-11,1.1.1.2.04.31,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENTOS DO TRABALHO,"R$ 69.865.205,50","R$ 141.933.980,11"
33190,2011-11,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE RECURSOS AO EXTERIOR,"R$ 0,00","R$ 0,00"
33202,2011-11,1.1.1.2.04.33,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE RECURSOS AO EXTERIOR,"R$ 0,00","R$ 54.430,32"
33214,2011-11,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDIMENTOS,"R$ 11.462.606,50","R$ 14.718.850,66"
33226,2011-11,1.1.1.2.04.34,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDIMENTOS,"R$ 11.462.606,50","R$ 27.753.298,58"
33238,2011-11,1.1.1.2.08.01,IMPOSTO S/ TRANS. INTER-VIVOS  DE BENS IMÓVEIS E DIR. REAIS S/ IMÓVEIS,"R$ 89.717.338,17","R$ 101.500.223,02"
33250,2011-11,1.1.1.2.08.01,IMPOSTO S/ TRANS. INTER-VIVOS  DE BENS IMÓVEIS E DIR. REAIS S/ IMÓVEIS,"R$ 89.717.338,17","R$ 134.992.452,19"
33262,2011-11,1.1.1.3.05.01,IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,"R$ 611.619.193,75","R$ 600.818.920,41"
33274,2011-11,1.1.1.3.05.01,IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,"R$ 611.619.193,75","R$ 826.909.980,28"
33286,2011-11,1.1.1.3.05.02,ISS - SISTEMA INTEGRADO - SIMPLES,"R$ 41.051,92","R$ 11.824,61"
33298,2011-11,1.1.1.3.05.02,ISS - SISTEMA INTEGRADO - SIMPLES,"R$ 41.051,92","R$ 12.672,75"
33310,2011-11,1.1.1.3.05.03,ISS - CMSP,"R$ 0,00","R$ 0,00"
33322,2011-11,1.1.1.3.05.03,ISS - CMSP,"R$ 0,00","R$ 0,00"
33334,2011-11,1.1.1.3.05.04,ISS - SIMPLES NACIONAL,"R$ 43.650.458,75","R$ 54.197.598,77"
33346,2011-11,1.1.1.3.05.04,ISS - SIMPLES NACIONAL,"R$ 43.650.458,75","R$ 63.230.021,70"
33358,2011-11,1.1.1.3.07,IMPOSTO S/ VENDA A VAREJO DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS - IVV,"R$ 0,00","R$ 0,00"
33370,2011-11,1.1.1.3.07,IMPOSTO S/ VENDA A VAREJO DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS - IVV,"R$ 0,00","R$ 0,00"
33382,2011-11,1.1.2.1.25.01,"TAXA DE LICENÇA P/ LOCALIZAÇÃO, INSTALAÇÃO E FUNCIONAMENTO","R$ 0,00","R$ 0,00"
