numero,file_url,file_txt
1,http://contratos.gastosabertos.org/files/contrato-1.pdf,http://contratos.gastosabertos.org/files/contrato-1.txt
2,http://contratos.gastosabertos.org/files/contrato-2.pdf,http://contratos.gastosabertos.org/files/contrato-2.txt
3,http://contratos.gastosabertos.org/files/contrato-3.pdf,http://contratos.gastosabertos.org/files/contrato-3.txt
4,http://contratos.gastosabertos.org/files/contrato-4.pdf,http://contratos.gastosabertos.org/files/contrato-4.txt
5,http://contratos.gastosabertos.org/files/contrato-5.doc,http://contratos.gastosabertos.org/files/contrato-5.txt
6,http://contratos.gastosabertos.org/files/contrato-6.doc,http://contratos.gastosabertos.org/files/contrato-6.txt
7,http://contratos.gastosabertos.org/files/contrato-7.doc,http://contratos.gastosabertos.org/files/contrato-7.txt
8,http://contratos.gastosabertos.org/files/contrato-8.pdf,
9,http://contratos.gastosabertos.org/files/contrato-9.docx,http://contratos.gastosabertos.org/files/contrato-9.txt
10,http://contratos.gastosabertos.org/files/contrato-10.doc,http://contratos.gastosabertos.org/files/contrato-10.txt
11,http://contratos.gastosabertos.org/files/contrato-11.doc,http://contratos.gastosabertos.org/files/contrato-11.txt
12,http://contratos.gastosabertos.org/files/contrato-12.doc,http://contratos.gastosabertos.org/files/contrato-12.txt
13,http://contratos.gastosabertos.org/files/contrato-13.pdf,http://contratos.gastosabertos.org/files/contrato-13.txt
14,http://contratos.gastosabertos.org/files/contrato-14.doc,http://contratos.gastosabertos.org/files/contrato-14.txt
15,http://contratos.gastosabertos.org/files/contrato-15.pdf,http://contratos.gastosabertos.org/files/contrato-15.txt
16,http://contratos.gastosabertos.org/files/contrato-16.doc,http://contratos.gastosabertos.org/files/contrato-16.txt
17,http://contratos.gastosabertos.org/files/contrato-17.pdf,http://contratos.gastosabertos.org/files/contrato-17.txt
18,http://contratos.gastosabertos.org/files/contrato-18.tif,
19,http://contratos.gastosabertos.org/files/contrato-19.doc,http://contratos.gastosabertos.org/files/contrato-19.txt
20,http://contratos.gastosabertos.org/files/contrato-20.doc,http://contratos.gastosabertos.org/files/contrato-20.txt
21,http://contratos.gastosabertos.org/files/contrato-21.doc,http://contratos.gastosabertos.org/files/contrato-21.txt
22,http://contratos.gastosabertos.org/files/contrato-22.doc,http://contratos.gastosabertos.org/files/contrato-22.txt
23,http://contratos.gastosabertos.org/files/contrato-23.doc,http://contratos.gastosabertos.org/files/contrato-23.txt
24,http://contratos.gastosabertos.org/files/contrato-24.doc,http://contratos.gastosabertos.org/files/contrato-24.txt
25,http://contratos.gastosabertos.org/files/contrato-25.doc,http://contratos.gastosabertos.org/files/contrato-25.txt
26,http://contratos.gastosabertos.org/files/contrato-26.doc,http://contratos.gastosabertos.org/files/contrato-26.txt
27,http://contratos.gastosabertos.org/files/contrato-27.doc,http://contratos.gastosabertos.org/files/contrato-27.txt
28,http://contratos.gastosabertos.org/files/contrato-28.doc,http://contratos.gastosabertos.org/files/contrato-28.txt
29,http://contratos.gastosabertos.org/files/contrato-29.doc,http://contratos.gastosabertos.org/files/contrato-29.txt
30,http://contratos.gastosabertos.org/files/contrato-30.doc,http://contratos.gastosabertos.org/files/contrato-30.txt
31,http://contratos.gastosabertos.org/files/contrato-31.doc,http://contratos.gastosabertos.org/files/contrato-31.txt
32,http://contratos.gastosabertos.org/files/contrato-32.pdf,http://contratos.gastosabertos.org/files/contrato-32.txt
